,Date,Player1,Player2,Sets_P1,Sets_P2,G1_P1,G1_P2,G2_P1,G2_P2,G3_P1,G3_P2,G4_P1,G4_P2,G5_P1,G5_P2,Total_P1,Total_P2,Total_Score,Total_Allowed_P1,Total_Allowed_P2,Over_74,G5,G4,Odds_P1,Odds_P2,pythagorean_P1,pythagorean_P2,D_Sets,D_G1,D_G2,D_G3,D_G4,D_G5,D_Odds,D_Total,D_Total_Allowed
297,1759437300,273429,833546,2.5506799852533484,2.231825165557648,10.228745219045003,9.917790504101495,10.148922172515734,9.832799227869355,10.342173731974302,9.627935566876378,6.669855805982368,6.429247754576495,3.815732770793881,3.1014022736915186,44,48,92,36.28007643013811,36.8957190178478,1,1,0,1.67,2.045,0.518470867974684,0.5138074647140803,0.319,0.311,0.316,0.714,0.241,0.714,-0.375,-4,-0.616
296,1759437600,977429,877899,1.7927077892136736,2.20724913633626,9.028749040374516,9.122146176478287,9.496940946709392,9.527113674467326,8.559015810676193,9.987916642645747,6.0579939194400865,6.852672401775892,2.98332964055438,3.8344128031027847,34,17,51,37.38625231075293,37.263280358379674,0,0,0,2.07,1.642,0.5057155984070395,0.5198355322481866,-0.415,-0.093,-0.03,-1.429,-0.795,-0.851,0.428,17,0.123
295,1759438200,1033391,735031,2.359841177495741,1.5654602359019865,9.495893087050593,8.678380220457587,9.360214978189388,8.570866943462311,10.033012904424867,8.643932594711218,7.569612675483678,5.682590041402488,2.7938394448570656,2.3578148436124073,40,32,72,36.141505059952166,37.91833598915408,0,0,1,1.416,2.599,0.5203027054949347,0.5075367701821959,0.794,0.818,0.789,1.389,1.887,0.436,-1.183,8,-1.777
294,1759438500,384003,380370,1.9738489883569723,1.7743033855268768,8.59400187619578,8.824124143448254,9.444388454869332,8.83309961501699,9.33624377352664,8.913384465817234,6.837415936100401,5.790530230778642,2.476976590350065,3.735908445419532,35,26,61,36.812556298510984,38.49079034652067,0,0,1,1.882,1.78,0.5006019943248737,0.4727624035639161,0.2,-0.23,0.611,0.423,1.047,-1.259,0.102,9,-1.678
293,1759438800,1050239,1071490,2.2838475874777164,2.2239019545163137,10.302921519619135,9.263302558033283,9.725154945178943,9.740244175444612,9.660756726903285,10.025801657403347,8.358641834167988,7.962740182835587,2.1743758235549184,4.243838554291842,34,24,58,36.366097818923535,39.739262269338354,0,0,0,1.54,2.29,0.5088761965448738,0.5019636986901922,0.06,1.04,-0.015,-0.365,0.396,-2.069,-0.75,10,-3.373
292,1759439400,659887,684030,1.8705831124260328,1.8875175539600921,9.188872180699564,9.224707379544107,9.57479167628996,9.134423608470568,9.058207724897166,9.109510413831767,4.987931851134378,6.9733855552459305,2.805686652589135,2.1294896355399007,49,45,94,35.57707529858056,38.28915169223067,1,1,0,1.478,2.42,0.5193333028820927,0.49041967063559105,-0.017,-0.036,0.44,-0.051,-1.985,0.676,-0.942,4,-2.712
291,1759440118,735031,807871,1.6217167052703299,1.9370451575111252,8.455698611394743,9.296398530383879,8.666127076925859,9.456491809519438,8.736327408108894,8.761879586204275,5.655821800663313,6.497862569180992,2.696724113814173,2.6834274343295013,40,29,69,38.15683265107815,35.42648208211444,0,0,1,2.165,1.623,0.5074214021721787,0.5086728732672008,-0.315,-0.841,-0.79,-0.026,-0.842,0.013,0.542,11,2.73
289,1759440300,380385,380926,2.387593197788194,1.8789056015180183,9.623958949922525,8.945640855762127,9.449492345651459,9.657066023762702,10.736001890867222,9.212446040412521,7.201887761938604,5.9338268540762895,3.0712620409589784,2.177651285623726,36,36,72,36.212198575183955,35.601242482503054,0,0,1,1.712,1.968,0.5267051211239828,0.4974895318026388,0.509,0.678,-0.208,1.524,1.268,0.894,-0.256,0,0.611
290,1759440300,735031,807871,1.5973356546606867,1.9395139748637689,8.398612383510018,9.36320643115689,8.679220134528551,9.399374483652723,8.825098894476728,8.84964901420119,5.630103295148929,6.439122860582361,2.590970212492573,2.8134891035787835,40,29,69,38.22911373349906,35.801914157346715,0,0,1,2.165,1.623,0.5071544137342693,0.5085719684330632,-0.342,-0.965,-0.72,-0.025,-0.809,-0.223,0.542,11,2.427
287,1759442100,384003,380370,1.974874518419046,1.7024189665452194,8.688354761618912,8.628678785018646,9.426961453347255,8.799347280287854,9.28384204701923,8.876379457447346,7.000654557676831,5.555931737290651,2.5759187035359985,3.58455123663649,39,29,68,37.32971105116026,38.268335563968066,0,0,1,1.5,2.5,0.500410554589617,0.47116605548218915,0.272,0.06,0.628,0.407,1.445,-1.009,-1.0,10,-0.939
