Date,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner
1751224800,920400,977429,1,3,11,8,7,11,6,11,6,11,0,0,0
1751223900,783710,747620,3,0,14,12,18,16,12,10,0,0,0,0,1
1751223600,898479,750669,3,0,11,8,11,5,11,9,0,0,0,0,1
1751223300,380926,729974,1,3,9,11,8,11,11,9,5,11,0,0,0
1751223000,877899,977429,3,1,8,11,11,7,11,8,11,9,0,0,1
1751222100,747620,804365,2,3,11,4,11,7,6,11,9,11,9,11,0
1751221800,817602,1016369,3,1,11,9,9,11,18,16,11,6,0,0,1
1751221800,990071,514114,2,3,7,11,7,11,11,8,11,3,8,11,0
1751221200,920400,755083,2,3,11,7,9,11,11,6,9,11,10,12,0
1751220600,671655,807871,3,0,13,11,17,15,11,5,0,0,0,0,1
1751220300,783710,981770,3,0,11,7,16,14,11,4,0,0,0,0,1
1751220000,383509,629518,3,1,11,9,6,11,11,9,11,4,0,0,1
1751220000,898479,896952,1,3,11,7,7,11,6,11,8,11,0,0,0
1751219400,738720,959873,2,3,11,5,11,2,10,12,6,11,6,11,0
1751218800,383207,755090,3,2,8,11,11,8,7,11,11,7,11,8,1
1751218500,981770,820666,3,0,11,4,11,9,11,5,0,0,0,0,1
1751218200,1016369,968152,1,3,8,11,12,10,8,11,9,11,0,0,0
1751217900,629518,990071,1,3,10,12,7,11,11,4,9,11,0,0,0
1751217600,817959,884296,3,2,8,11,12,10,11,9,9,11,11,9,1
1751217000,755090,671655,0,3,5,11,6,11,8,11,0,0,0,0,0
1751216700,783710,804365,1,3,8,11,11,8,4,11,8,11,0,0,0
1751216400,817602,750669,3,2,8,11,11,8,12,10,9,11,13,11,1
1751216100,383509,514114,0,3,3,11,14,16,7,11,0,0,0,0,0
1751215800,738720,817959,3,0,12,10,11,6,11,4,0,0,0,0,1
1751215200,807871,383207,3,0,11,3,11,5,11,7,0,0,0,0,1
1751214900,747620,981770,3,2,11,6,3,11,10,12,11,8,11,7,1
1751214600,898479,1016369,3,2,15,13,11,13,11,5,11,13,11,8,1
1751214300,990071,514114,3,1,11,7,5,11,11,6,14,12,0,0,1
1751214000,959873,884296,3,0,11,8,13,11,11,6,0,0,0,0,1
1751213400,671655,383207,3,1,11,9,7,11,14,12,11,9,0,0,1
1751213100,783710,820666,0,3,8,11,6,11,11,13,0,0,0,0,0
1751212800,1016369,750669,0,3,9,11,7,11,8,11,0,0,0,0,0
1751212500,383509,629518,3,0,11,9,11,8,11,8,0,0,0,0,1
1751212200,817959,884296,3,2,14,12,6,11,10,12,11,8,11,7,1
1751211600,807871,755090,3,2,11,8,8,11,5,11,11,9,11,5,1
1751211300,981770,804365,0,3,2,11,9,11,8,11,0,0,0,0,0
1751211300,514114,629518,2,3,11,3,8,11,11,3,7,11,8,11,0
1751211000,817602,968152,3,1,5,11,11,9,11,3,11,7,0,0,1
1751210400,959873,738720,3,2,6,11,10,12,12,10,11,8,11,9,1
1751210400,383207,755090,3,0,11,8,12,10,11,8,0,0,0,0,1
1751209500,747620,820666,2,3,7,11,11,6,8,11,11,8,4,11,0
1751209200,750669,896952,3,2,10,12,6,11,11,4,13,11,11,8,1
1751208900,383509,990071,1,3,12,14,11,8,10,12,3,11,0,0,0
1751208600,807871,671655,1,3,8,11,7,11,11,8,8,11,0,0,0
1751208600,884296,738720,1,3,12,10,4,11,11,13,6,11,0,0,0
1751208300,747673,833546,0,3,7,11,2,11,7,11,0,0,0,0,0
1751208000,695309,816200,1,3,16,18,11,8,6,11,8,11,0,0,0
1751207400,898479,968152,3,0,12,10,11,7,13,11,0,0,0,0,1
1751207400,384004,788338,3,2,12,14,11,9,11,13,11,9,11,6,1
1751206800,959873,817959,2,3,11,8,9,11,11,3,9,11,4,11,0
1751206500,273429,770453,3,0,12,10,11,9,11,9,0,0,0,0,1
1751206200,512104,945058,3,1,9,11,13,11,11,9,16,14,0,0,1
1751205900,735031,808048,2,3,7,11,11,9,5,11,11,5,8,11,0
1751205600,380030,920854,2,3,11,9,5,11,12,14,11,7,4,11,0
